,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Brand,Model,Age,new_price_num
0,Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,3,21.01,998.0,58.16,5.0,,1.75,Maruti,Wagon R,10,
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,3,19.67,1582.0,126.2,5.0,,12.5,Hyundai,Creta 1.6,5,
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,3,18.2,1199.0,88.7,5.0,8.61 Lakh,4.5,Honda,Jazz V,9,8.61
3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,3,20.77,1248.0,88.76,7.0,,6.0,Maruti,Ertiga VDI,8,
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,2,15.2,1968.0,140.8,5.0,,17.74,Audi,A4 New,7,
5,Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,3,11.29,814.0,55.2,5.0,,2.35,Hyundai,EON LPG,8,
6,Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,3,23.08,1461.0,63.1,5.0,,3.5,Nissan,Micra Diesel,7,
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,3,11.36,2755.0,171.5,8.0,21 Lakh,17.5,Toyota,Innova Crysta,4,21.0
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,3,20.54,1598.0,103.6,5.0,,5.2,Volkswagen,Vento Diesel,7,
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,2,22.3,1248.0,74.0,5.0,,1.95,Tata,Indica Vista,8,
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,3,21.56,1462.0,103.25,5.0,10.65 Lakh,9.95,Maruti,Ciaz Zeta,2,10.65
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,3,16.8,1497.0,116.3,5.0,,4.49,Honda,City 1.5,8,
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,3,25.2,1248.0,74.0,5.0,,5.6,Maruti,Swift VDI,5,
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,3,12.7,2179.0,187.7,5.0,,27.0,Land Rover,Rover Range,6,
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,2,,2179.0,115.0,5.0,,17.5,Land Rover,Rover Freelander,8,
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,3,13.5,2477.0,175.56,7.0,32.01 Lakh,15.0,Mitsubishi,Pajero Sport,6,32.01
16,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,3,25.8,1498.0,98.6,5.0,,5.4,Honda,Amaze S,4,
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,3,28.4,1248.0,74.0,5.0,,5.99,Maruti,Swift DDiS,3,
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,3,20.45,1461.0,83.8,5.0,,6.34,Renault,Duster 85PS,6,
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,3,14.84,2143.0,167.62,5.0,,28.0,Mercedes-Benz,New C-Class,6,
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,3,22.69,1995.0,190.0,5.0,47.87 Lakh,18.55,BMW,3 Series,6,47.87
